FECHA_CORTE;ACP_CODI;ACP_NOMB;ACP_SULEG;ACP_UBPO;ACP_BALEC;ACP_FELEC;ACP_BALEM;ACP_FELEM;ACP_TIREC;ACP_FECAD;ACP_TIPRO;ACP_TITU;ACP_PAREG;ACP_WDPAID;UBIGEO1;DEPARTAMENTO1;PROVINCIA1;DISTRITO1;UBIGEO2;DEPARTAMENTO2;PROVINCIA2;DISTRITO2;UBIGEO3;DEPARTAMENTO3;PROVINCIA3;DISTRITO3;UBIGEO4;DEPARTAMENTO4;PROVINCIA4;DISTRITO4;UBIGEO5;DEPARTAMENTO5;PROVINCIA5;DISTRITO5;UBIGEO6;DEPARTAMENTO6;PROVINCIA6;DISTRITO6;UBIGEO7;DEPARTAMENTO7;PROVINCIA7;DISTRITO7;UBIGEO8;DEPARTAMENTO8;PROVINCIA8;DISTRITO8;UBIGEO9;DEPARTAMENTO9;PROVINCIA9;DISTRITO9
20230906;ACP01;Chaparrí;34412;LAMBAYEQUE y CAJAMARCA;R.M. N° 1324-2001-AG;20011219;R.M. Nº 153-2011-MINAM;20110719;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina Muchick Santa Catalina de Chongoyape; ;555555630;060418;CAJAMARCA;CHOTA;TOCMOCHE;060411;CAJAMARCA;CHOTA;LLAMA;060412;CAJAMARCA;CHOTA;MIRACOSTA;060416;CAJAMARCA;CHOTA;SAN JUAN DE LICUPIS;140102;LAMBAYEQUE;CHICLAYO;CHONGOYAPE;140110;LAMBAYEQUE;CHICLAYO;OYOTUN;140119;LAMBAYEQUE;CHICLAYO;PUCALA;140205;LAMBAYEQUE;FERREÑAFE;PITIPO;140102;LAMBAYEQUE;CHICLAYO;CHONGOYAPE
20230906;ACP02;Bosque Natural El Cañoncillo;1310.9;LA LIBERTAD;R.M. N° 0804-2004-AG;20040916; ;;Perpetuo;Perpetuo;Empresa;Cooperativa Agraria  de Usuarios TECAPA; ;555555629;130705;LA LIBERTAD;PACASMAYO;SAN JOSE;130701;LA LIBERTAD;PACASMAYO;SAN PEDRO DE LLOC;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP03;Pacllón;12896.56;ANCASH;R.M. N° 908-2005-AG;20051213; ;;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina Pacllón; ;555555627;20511;ANCASH;BOLOGNESI;LA PRIMAVERA;20512;ANCASH;BOLOGNESI;MANGAS;20513;ANCASH;BOLOGNESI;PACLLON;20501;ANCASH;BOLOGNESI;CHIQUIAN;20509;ANCASH;BOLOGNESI;HUASTA;20513;ANCASH;BOLOGNESI;PACLLON;;;;;;;;;;;;
20230906;ACP04;Huayllapa;21106.57;LIMA;R.M. N° 909-2005-AG;20051213;R.M. Nº 202-2007-AG;20070306;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina Huayllapa; ;555555628;150302;LIMA;CAJATAMBO;COPA;150301;LIMA;CAJATAMBO;CAJATAMBO;150302;LIMA;CAJATAMBO;COPA;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP06;Huiquilla;1140.54;AMAZONAS;R.M. N° 1458-2006-AG;20061130; ;;Perpetuo;Perpetuo;Privado;Familia La Torre Montoya; ;555555631;10507;AMAZONAS;LUYA;LONGUITA;10522;AMAZONAS;LUYA;TINGO;10504;AMAZONAS;LUYA;COLCAMAR;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP07;San Antonio;357.39;AMAZONAS;R.M. N° 227-2007-AG;20070309; ;;20;20270309;Privado;Familia Muñóz Saavedra; ;555555634;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP09;Jirishanca;12172.91;HUANUCO;R.M. N° 346-2007-AG;20070424; ;;30;20370424;Comunidad Campesina;Comunidad Campesina Queropalca; ;555555635;101002;HUANUCO;LAURICOCHA;BAÑOS;101004;HUANUCO;LAURICOCHA;QUEROPALCA;101001;HUANUCO;LAURICOCHA;JESUS;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP10;Abra Patricia - Alto Nieva;1415.74;AMAZONAS;R.M. N° 621-2007-AG;20071016; ;;Perpetuo;Perpetuo;Organización No Gubernamental;ONG ECOAN; ;555555639;10312;AMAZONAS;BONGARA;YAMBRASBAMBA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP13;Abra Málaga Thastayoc - Royal Cinclodes;70.64;CUSCO;R.M. N° 004-2009-MINAM;20090116; ;;Perpetuo;Perpetuo;Asociación;Asociación Agraria Thastayoc - Habra Málaga; ;555555641;81306;CUSCO;URUBAMBA;OLLANTAYTAMBO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP14;Hatun Queuña-Quishuarani Ccollana;234.88;CUSCO;R.M. N° 005-2009-MINAM;20090116; ;;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina Quishuarani Ccollana; ;555555638;80404;CUSCO;CALCA;LARES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP20;Tambo Ilusión;14.29;SAN MARTIN;R.M. N° 075-2010-MINAM;20100506;R.M. Nº 082-2021-MINAM;20210520;Perpetuo;Perpetuo;Privado;Armando Daniel Rodríguez Tynan y Dorís Rosa Valdivia Vargas;P.E. Nº 11046461;555555646;220909;SAN MARTIN;SAN MARTIN;LA BANDA DE SHILCAYO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP21;Tilacancha;6800.48;AMAZONAS;R.M. N° 118-2010-MINAM;20100706; ;;20;20300706;Comunidad Campesina;Comunidad Campesina Levanto y Comunidad Campesina San Isidro del Mayno; ;555555647;10120;AMAZONAS;CHACHAPOYAS;SOLOCO;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;10119;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;10111;AMAZONAS;CHACHAPOYAS;LEVANTO;;;;;;;;;;;;;;;;;;;;
20230906;ACP23;Refugio K'erenda Homet;35.4;MADRE DE DIOS;R.M. N° 157-2010-MINAM;20100906; ;;Perpetuo;Perpetuo;Privado;Kérenda Homet Zambrano Herrera; ;555555651;170101;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP26;Bosque Seco Amotape;123.3;TUMBES;R.M. N° 242-2010-MINAM;20101201; ;;20;20301201;Privado;Javier Chang Lay y Teresa Sylvia Fu Huby de Chang; ;555555652;240201;TUMBES;CONTRALMIRANTE VILLAR;ZORRITOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP32;Hierba Buena - Allpayacu;2282.12;AMAZONAS;R.M. N° 123-2011-MINAM;20110607; ;;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina de Corosha; ;555555660;10302;AMAZONAS;BONGARA;CHISQUILLA;10304;AMAZONAS;BONGARA;COROSHA;10312;AMAZONAS;BONGARA;YAMBRASBAMBA;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP33;San Marcos;985.99;HUANUCO;R.M. N° 133-2011-MINAM;20110616; ;;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina de San Marcos; ;555555663;100804;HUANUCO;PACHITEA;UMARI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP34;Copallín;11549.21;AMAZONAS;R.M. N° 140-2011-MINAM;20110624; ;;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina de Copallín; ;555555664;10702;AMAZONAS;UTCUBAMBA;CAJARURO;10203;AMAZONAS;BAGUA;COPALLIN;10202;AMAZONAS;BAGUA;ARAMANGO;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP37;Lomas de Atiquipa;19028.02;AREQUIPA;R.M. N° 165-2011-MINAM;20110726;R.M. Nº 018-2022-MINAM;20220121;10;20310726;Comunidad Campesina;Comunidad Campesina de Yauca, Jaqui y Atiquipa;P.E. Nº 04002419;555555668;40313;AREQUIPA;CARAVELI;YAUCA;40304;AREQUIPA;CARAVELI;ATIQUIPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP38;Huaylla Belén - Colcamar;6338.42;AMAZONAS;R.M. N° 166-2011-MINAM;20110726; ;;30;20410726;Comunidad Campesina;Comunidad Campesina de Colcamar; ;555555669;10507;AMAZONAS;LUYA;LONGUITA;10522;AMAZONAS;LUYA;TINGO;10504;AMAZONAS;LUYA;COLCAMAR;10513;AMAZONAS;LUYA;OCUMAL;10506;AMAZONAS;LUYA;INGUILPATA;;;;;;;;;;;;;;;;
20230906;ACP39;La Huerta del Chaparrí;100;LAMBAYEQUE;R.M. N° 266-2011-MINAM;20111111; ;;Perpetuo;Perpetuo;Privado;Sr. Heinz Augusto Ricardo E. Plenge Sánchez y la Sra. Ana María Pardo Díaz de Plenge; ;555555671;140102;LAMBAYEQUE;CHICLAYO;CHONGOYAPE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
